token_id,freq,primary_lang,tier,concentration,mse,rel_err,row_norm
8814,1,spa_Latn,high,1.0,2.02624e-05,0.0933436,2.18235
38860,1,spa_Latn,high,1.0,4.29034e-06,0.0937866,0.999471
43381,1,spa_Latn,high,1.0,6.52379e-06,0.0912921,1.26614
83414,1,spa_Latn,high,1.0,1.04499e-05,0.0959139,1.52524
27423,1,spa_Latn,high,1.0,6.24073e-06,0.0926078,1.22077
28990,1,spa_Latn,high,1.0,5.72986e-06,0.0946108,1.14498
107791,1,spa_Latn,high,1.0,4.72515e-06,0.091402,1.07626
43865,1,spa_Latn,high,1.0,1.5063e-05,0.0947099,1.85449
44255,1,spa_Latn,high,1.0,5.14061e-06,0.0951827,1.07799
235691,1,spa_Latn,high,1.0,5.58841e-06,0.0927925,1.15291
172194,1,spa_Latn,high,1.0,8.53419e-06,0.0912663,1.44856
106422,1,spa_Latn,high,1.0,6.16743e-06,0.0906197,1.24021
42905,1,spa_Latn,high,1.0,1.18413e-05,0.0932864,1.66935
61287,1,spa_Latn,high,1.0,1.00646e-05,0.0965647,1.48678
173298,1,spa_Latn,high,1.0,6.26536e-06,0.0933622,1.2133
55397,1,spa_Latn,high,1.0,5.55108e-06,0.0892314,1.19491
23051,1,spa_Latn,high,1.0,1.45239e-05,0.0914458,1.88601
233022,1,spa_Latn,high,1.0,5.54237e-06,0.0904633,1.17772
94362,1,spa_Latn,high,1.0,6.12964e-06,0.0910306,1.23082
72376,1,spa_Latn,high,1.0,5.66863e-06,0.0916556,1.17556
41483,1,spa_Latn,high,1.0,8.72451e-06,0.0925483,1.44433
72838,1,spa_Latn,high,1.0,4.75707e-06,0.0896427,1.10108
81696,1,spa_Latn,high,1.0,8.61949e-06,0.0927994,1.43173
21720,1,spa_Latn,high,1.0,5.01949e-06,0.0867421,1.16887
45967,1,spa_Latn,high,1.0,5.99001e-06,0.0900491,1.22998
37544,1,spa_Latn,high,1.0,8.36608e-06,0.0920848,1.42147
129131,1,spa_Latn,high,1.0,4.46688e-06,0.0914938,1.04538
197125,1,spa_Latn,high,1.0,4.05111e-06,0.0956403,0.952382
24875,1,spa_Latn,high,1.0,4.75577e-06,0.0881428,1.11967
30824,1,spa_Latn,high,1.0,7.7247e-06,0.090044,1.39685
62110,1,spa_Latn,high,1.0,3.15917e-06,0.0905648,0.888162
32583,1,spa_Latn,high,1.0,1.37247e-05,0.0938398,1.78661
3445,1,spa_Latn,high,1.0,2.13693e-05,0.0954489,2.19174
60238,1,spa_Latn,high,1.0,4.63822e-06,0.0919488,1.05997
40230,1,spa_Latn,high,1.0,1.46085e-05,0.100519,1.72076
9526,1,spa_Latn,high,1.0,9.6568e-06,0.093351,1.50648
195498,1,spa_Latn,high,1.0,3.99157e-06,0.0884648,1.02204
197388,1,spa_Latn,high,1.0,4.8803e-06,0.0911984,1.09623
80792,1,spa_Latn,high,1.0,3.72162e-06,0.093139,0.937345
59713,1,spa_Latn,high,1.0,4.14141e-06,0.0933037,0.987052
142806,1,spa_Latn,high,1.0,5.19843e-06,0.0914918,1.12777
63534,1,spa_Latn,high,1.0,4.20885e-06,0.0884893,1.04919
32209,1,spa_Latn,high,1.0,1.57994e-05,0.0933776,1.92638
98112,1,spa_Latn,high,1.0,1.25295e-05,0.0940941,1.70243
71284,1,spa_Latn,high,1.0,5.25292e-06,0.088806,1.16795
91359,1,spa_Latn,high,1.0,3.72795e-06,0.0912668,0.957387
2999,1,spa_Latn,high,1.0,2.06144e-05,0.0930459,2.20827
1759,1,spa_Latn,high,1.0,3.37101e-05,0.0954256,2.75347
242000,1,spa_Latn,high,1.0,3.65197e-06,0.0939661,0.920359
252859,1,spa_Latn,high,1.0,4.36688e-06,0.0899423,1.05145
63354,1,spa_Latn,high,1.0,5.25702e-06,0.096051,1.08027
118476,1,spa_Latn,high,1.0,4.50328e-06,0.0903823,1.06254
230355,1,spa_Latn,high,1.0,6.72858e-06,0.0914602,1.2835
15526,1,spa_Latn,high,1.0,2.46014e-05,0.0954083,2.35266
39787,1,spa_Latn,high,1.0,8.85696e-06,0.090804,1.48321
230079,1,spa_Latn,high,1.0,6.07915e-06,0.0913583,1.22134
227388,1,spa_Latn,high,1.0,4.40181e-06,0.092456,1.02694
55704,1,spa_Latn,high,1.0,6.94456e-06,0.0884301,1.34861
148725,1,spa_Latn,high,1.0,9.45308e-06,0.0932878,1.49151
189804,1,spa_Latn,high,1.0,3.50852e-06,0.0914606,0.926814
109757,1,spa_Latn,high,1.0,4.22067e-06,0.0935005,0.994356
59153,1,spa_Latn,high,1.0,1.03836e-05,0.0905499,1.61046
12499,1,spa_Latn,high,1.0,9.01595e-06,0.0957711,1.41885
158153,1,spa_Latn,high,1.0,4.12677e-06,0.0939713,0.978307
17610,1,spa_Latn,high,1.0,2.04808e-05,0.0945136,2.16693
166553,1,spa_Latn,high,1.0,3.68259e-06,0.0956039,0.908377
119867,1,spa_Latn,high,1.0,8.88249e-06,0.0939292,1.43593
160619,1,spa_Latn,high,1.0,4.78499e-06,0.0912693,1.08463
209105,1,spa_Latn,high,1.0,3.35164e-06,0.0901513,0.919014
96783,1,spa_Latn,high,1.0,7.71214e-06,0.0918269,1.36862
13771,1,spa_Latn,high,1.0,1.27276e-05,0.0965355,1.67244
23806,1,spa_Latn,high,1.0,4.2747e-06,0.0907701,1.0308
118720,1,spa_Latn,high,1.0,9.67512e-06,0.0960818,1.46505
66856,1,spa_Latn,high,1.0,3.36384e-06,0.0908753,0.91335
59600,1,spa_Latn,high,1.0,7.22685e-06,0.0939153,1.2954
60137,1,spa_Latn,high,1.0,1.21397e-05,0.0910381,1.73199
44667,1,spa_Latn,high,1.0,8.45873e-06,0.0946488,1.3906
99933,1,spa_Latn,high,1.0,7.29875e-06,0.0918387,1.33126
115373,1,spa_Latn,high,1.0,6.10642e-06,0.0913755,1.22385
3155,1,spa_Latn,high,1.0,2.61967e-05,0.101609,2.27959
69273,1,spa_Latn,high,1.0,1.03022e-05,0.104412,1.39116
66694,1,spa_Latn,high,1.0,1.0479e-05,0.0928638,1.57754
250024,1,spa_Latn,high,1.0,7.76094e-06,0.0914082,1.37923
225559,1,spa_Latn,high,1.0,3.19032e-06,0.0925079,0.873782
5505,1,spa_Latn,high,1.0,2.76238e-05,0.113626,2.09329
76215,1,spa_Latn,high,1.0,4.82173e-06,0.0894709,1.11067
107818,1,spa_Latn,high,1.0,3.29912e-06,0.093774,0.876559
13192,1,spa_Latn,high,1.0,1.59475e-05,0.0956679,1.88906
32815,1,spa_Latn,high,1.0,2.05129e-05,0.100606,2.0373
255756,1,spa_Latn,high,1.0,9.50151e-06,0.0949654,1.46891
96681,1,spa_Latn,high,1.0,8.04023e-06,0.0937238,1.36915
53447,1,spa_Latn,high,1.0,4.74504e-06,0.0924485,1.06631
239835,1,spa_Latn,high,1.0,4.2385e-06,0.0906107,1.02823
244387,1,spa_Latn,high,1.0,5.48486e-06,0.0906397,1.16931
54603,1,spa_Latn,high,1.0,5.95062e-06,0.0916953,1.20392
245163,1,spa_Latn,high,1.0,5.6853e-06,0.0954947,1.12996
66932,1,spa_Latn,high,1.0,1.22777e-05,0.0907172,1.74797
54884,1,spa_Latn,high,1.0,4.78047e-06,0.0957779,1.03308
72065,1,spa_Latn,high,1.0,6.384e-06,0.0922011,1.24015
49820,1,spa_Latn,high,1.0,4.02576e-06,0.0926174,0.980385
127005,1,spa_Latn,high,1.0,3.50736e-06,0.0922456,0.918776
45678,1,spa_Latn,high,1.0,9.0348e-06,0.0942479,1.44329
