tensor,layer,kind,rel_err
model.layers.17.self_attn.o_proj.weight,17,o_proj,0.091347
model.layers.25.self_attn.k_proj.weight,25,k_proj,0.098799
model.layers.0.mlp.down_proj.weight,0,down_proj,0.093506
model.layers.11.mlp.down_proj.weight,11,down_proj,0.093293
model.layers.26.self_attn.q_proj.weight,26,q_proj,0.094966
model.layers.20.mlp.up_proj.weight,20,up_proj,0.093532
model.layers.15.self_attn.o_proj.weight,15,o_proj,0.091745
model.layers.20.self_attn.v_proj.weight,20,v_proj,0.094898
model.layers.10.self_attn.k_proj.weight,10,k_proj,0.097077
model.layers.12.mlp.down_proj.weight,12,down_proj,0.093117
model.layers.11.self_attn.v_proj.weight,11,v_proj,0.092853
model.layers.15.mlp.up_proj.weight,15,up_proj,0.093514
model.layers.20.self_attn.o_proj.weight,20,o_proj,0.091806
model.layers.15.mlp.gate_proj.weight,15,gate_proj,0.093664
model.layers.0.mlp.gate_proj.weight,0,gate_proj,0.091416
model.layers.18.mlp.gate_proj.weight,18,gate_proj,0.092784
model.layers.13.mlp.gate_proj.weight,13,gate_proj,0.093557
model.layers.35.mlp.up_proj.weight,35,up_proj,0.092407
model.layers.35.mlp.gate_proj.weight,35,gate_proj,0.092558
model.layers.35.mlp.down_proj.weight,35,down_proj,0.095383
model.layers.34.self_attn.v_proj.weight,34,v_proj,0.096547
model.layers.34.self_attn.k_proj.weight,34,k_proj,0.094401
model.layers.34.mlp.up_proj.weight,34,up_proj,0.091667
model.layers.34.mlp.gate_proj.weight,34,gate_proj,0.092309
model.layers.34.mlp.down_proj.weight,34,down_proj,0.092509
model.layers.33.self_attn.v_proj.weight,33,v_proj,0.093506
model.layers.33.self_attn.q_proj.weight,33,q_proj,0.097696
model.layers.33.mlp.gate_proj.weight,33,gate_proj,0.09229
model.layers.32.self_attn.v_proj.weight,32,v_proj,0.115296
model.layers.31.self_attn.v_proj.weight,31,v_proj,0.12208
model.layers.32.self_attn.k_proj.weight,32,k_proj,0.107453
model.layers.30.mlp.up_proj.weight,30,up_proj,0.091719
model.layers.32.mlp.down_proj.weight,32,down_proj,0.091742
model.layers.34.self_attn.o_proj.weight,34,o_proj,0.092157
model.layers.27.mlp.down_proj.weight,27,down_proj,0.092203
model.layers.27.mlp.up_proj.weight,27,up_proj,0.092359
model.layers.31.self_attn.q_proj.weight,31,q_proj,0.092305
model.layers.30.self_attn.k_proj.weight,30,k_proj,0.104415
model.layers.31.mlp.up_proj.weight,31,up_proj,0.092061
model.layers.30.self_attn.q_proj.weight,30,q_proj,0.094283
